"Country.Name","Country.Code","Health_Expenditure_2022","Infant_Mortality_2022","GDP_per_Capita_2022","Life_Expectancy_2022"
"Suriname","SUR",5.91760969,15.7,6084.43876736445,73.254
"Sweden","SWE",10.49857044,2,55296.9371472535,83.0585365853659
"Switzerland","CHE",11.70653343,3.5,94394.5106803525,83.6048780487805
"Syrian Arab Republic","SYR",4.15098715,19.5,1051.67149587463,72.79
"Tajikistan","TJK",7.62917423,23.1,1052.17949484894,71.562
"Tanzania","TZA",3.1119566,31.2,1207.85302734375,66.879
"Thailand","THA",5.35470581,8.3,6909.35281815827,75.291
"Timor-Leste","TLS",14.32454681,36.9,2343.24523350389,67.368
"Togo","TGO",6.04134083,36.9,898.758154410712,62.29
"Tonga","TON",8.13607597,8.2,4933.07466930785,72.635
"Trinidad and Tobago","TTO",6.43106365,17.6,20874.37682915,73.331
"Tunisia","TUN",6.96380186,11.5,3708.8481241036,76.05
"Turkiye","TUR",3.70338893,8,10674.504157865,77.591
"Turkmenistan","TKM",5.37103748,32,8156.35211950774,69.913
"Tuvalu","TUV",18.38210106,17.7,5911.32727055301,66.852
"Uganda","UGA",4.39089251,28.7,963.067314233497,67.675
"United Arab Emirates","ARE",4.67550945,4.2,49899.0652975197,80.487
"United Kingdom","GBR",11.05087757,3.9,46062.9914079698,81.0112195121951
"United States","USA",16.49613953,5.5,77860.9112908848,77.4341463414634
"Uruguay","URY",8.94532204,5.6,20818.6146091144,76.468
"Uzbekistan","UZB",7.36325455,13.1,2578.66689394219,72.147
"Vanuatu","VUT",4.14742947,14.4,3292.34108821237,71.302
"Viet Nam","VNM",4.58891582,14.3,4147.69777213621,74.502
"West Bank and Gaza","PSE",9.73336029,12.3,3799.95527015163,76.662
"Zambia","ZMB",5.25592279,32.2,1447.12310138035,65.279
"Zimbabwe","ZWE",3.62880659,42.2,2040.54658705395,62.36
